SQM,Bedrooms,HasYard,HasPool,Floors,SuburbType,NumPrevOwners,Made,HasStormProtector,Basement,Attic,Garages,HasStorageRoom,LivingRooms,Price
10000,4,No,No,1,Middle Class,7,2020,Yes,9872,5678,1,No,1,177468.5
50000,2,Yes,Yes,1,Middle Class,10,2003,No,6446,1384,1,No,2,177920.625
10000,2,No,No,1,Working Class,10,2003,No,9608,4027,1,Yes,2,189191.1
10000,2,No,Yes,1,Exclusive,7,2000,No,3187,6618,1,No,2,192107.85
10000,1,Yes,No,2,Middle Class,9,1998,No,1071,4721,2,No,1,200115.725
10000,1,Yes,Yes,2,Upper Class,5,2002,No,1608,6594,1,No,2,209408.025
10000,2,Yes,No,1,Exclusive,2,2008,No,2383,6053,2,Yes,2,212703.575
10000,3,No,Yes,1,Upper Class,4,1996,Yes,7208,7691,2,No,1,218969.225
10000,1,No,No,1,Exclusive,8,1993,Yes,7166,8479,2,Yes,1,219130.025
10000,4,No,No,1,Upper Class,5,2016,Yes,3594,706,1,Yes,1,226199.25
10000,5,No,Yes,1,Middle Class,5,1996,Yes,3648,1264,2,Yes,1,226439.4
10000,2,No,No,2,Middle Class,2,2011,Yes,5930,2141,0,No,2,226490.85
10000,2,Yes,No,1,Exclusive,6,2009,No,9593,2913,0,No,1,229750.975
10000,1,No,Yes,2,Middle Class,10,2006,Yes,5816,8915,2,Yes,1,236113.75
10000,3,Yes,No,2,Working Class,2,1999,Yes,3053,8046,2,Yes,1,238259.95
10000,2,Yes,No,2,Working Class,7,1991,No,7643,315,2,Yes,1,243124.4
10000,3,Yes,Yes,1,Upper Class,5,2011,Yes,2561,2352,2,Yes,2,244101.35
10000,2,No,Yes,1,Middle Class,9,2013,Yes,2657,5038,2,Yes,1,249438.35
10000,2,No,No,2,Upper Class,1,1994,No,7377,8868,0,Yes,2,249695.95
10000,1,No,Yes,2,Middle Class,4,2019,Yes,6630,6204,2,Yes,2,252382.3
10000,5,Yes,Yes,2,Middle Class,3,2001,Yes,4173,8933,0,Yes,2,254536.75
10000,2,Yes,No,2,Working Class,2,1995,No,6158,1655,2,No,1,260335.4
10000,5,Yes,No,2,Upper Class,5,1994,Yes,2566,133,2,Yes,2,261428.125
10000,2,Yes,No,1,Middle Class,7,2011,No,6738,5603,2,No,1,267775.125
10000,1,No,Yes,1,Working Class,2,1994,Yes,5060,7544,2,Yes,2,268046.35
10000,5,No,No,1,Working Class,2,2010,Yes,6506,9958,1,Yes,1,273546.425
10000,5,No,Yes,1,Middle Class,5,2003,No,887,1092,0,No,2,274019.325
10000,4,Yes,Yes,2,Middle Class,8,2021,Yes,654,3585,1,No,2,296651.275
10000,4,No,Yes,1,Middle Class,6,1990,Yes,5713,4559,1,Yes,1,310208.7
10000,1,Yes,No,1,Middle Class,9,2012,Yes,6370,6024,1,Yes,1,317464.725
10000,2,Yes,No,1,Exclusive,4,2013,No,2834,9336,2,No,1,326659.275
10000,3,No,No,1,Exclusive,3,1990,Yes,2348,5137,1,No,1,329128.625
10000,5,Yes,Yes,2,Middle Class,2,2002,No,3855,961,0,No,2,346862.025
10000,4,Yes,No,2,Upper Class,6,2020,No,7428,2642,0,No,1,401602.425
10000,5,No,Yes,1,Middle Class,3,2016,No,5947,932,2,Yes,2,402339.55
10000,2,Yes,Yes,2,Exclusive,2,2005,No,2938,7209,2,No,1,403773.625
10000,4,Yes,Yes,2,Middle Class,10,1995,Yes,1599,1999,2,Yes,1,405415.275
10000,3,No,Yes,2,Middle Class,3,2001,Yes,4476,2053,2,No,2,424370.775
10000,4,No,No,1,Upper Class,3,2010,Yes,8609,3736,2,Yes,2,429313.925
10000,2,No,Yes,1,Middle Class,9,2021,Yes,1498,3734,0,Yes,2,432207.375
10000,5,Yes,Yes,1,Exclusive,3,2009,Yes,6528,2986,0,No,2,435052.275
10000,1,Yes,No,2,Upper Class,4,2004,Yes,6906,9110,2,No,2,435168.5
10000,1,Yes,Yes,1,Exclusive,9,2014,No,2723,995,1,No,1,441475.55
10000,5,No,Yes,2,Upper Class,5,1992,No,2364,2212,2,Yes,2,444694.825
10000,2,Yes,Yes,1,Middle Class,8,2019,No,330,5343,2,Yes,1,447239.6
10000,2,Yes,Yes,1,Upper Class,6,1995,Yes,9552,8299,2,Yes,1,450918.9
10000,5,Yes,Yes,2,Middle Class,5,2011,No,5749,3578,1,No,1,457479.425
10000,3,No,No,2,Upper Class,4,2014,No,8046,3187,2,Yes,2,479925.6
10000,1,Yes,No,2,Middle Class,6,1992,Yes,1252,7255,2,Yes,1,481280
10000,1,No,Yes,1,Middle Class,9,2005,Yes,1624,3544,0,Yes,2,484793.075
10000,4,No,No,2,Middle Class,8,2010,Yes,8681,6583,2,No,1,493111.225
10000,5,Yes,No,2,Middle Class,9,1994,No,8578,1495,1,No,1,495636.2
10000,4,Yes,Yes,2,Middle Class,6,2015,No,9301,8989,2,Yes,1,504321.9
10000,3,No,Yes,1,Upper Class,2,1998,No,4226,1272,2,No,2,513967.525
10000,2,No,Yes,1,Middle Class,9,1994,Yes,6382,4972,2,Yes,1,514066.85
10000,1,No,Yes,2,Middle Class,4,2016,Yes,9670,4645,2,Yes,2,521028.425
10000,4,No,Yes,1,Middle Class,7,2003,No,7737,4258,2,Yes,1,529106.9
10000,2,No,Yes,1,Middle Class,4,2008,No,8622,2077,1,Yes,1,534200.375
10000,1,No,Yes,1,Exclusive,3,2003,No,3587,8088,2,No,1,539085.525
10000,3,No,No,2,Working Class,8,1995,No,302,1509,2,No,1,539574.925
10000,1,Yes,No,1,Middle Class,2,1999,Yes,2420,9941,1,No,2,541525.175
10000,2,Yes,Yes,1,Middle Class,6,2000,No,245,5879,1,No,2,558781
10000,3,No,No,2,Upper Class,3,2015,No,5943,1113,2,Yes,1,562074.575
10000,2,Yes,Yes,1,Upper Class,2,2003,Yes,3367,3336,2,No,2,568340.35
10000,1,No,No,2,Middle Class,5,2005,Yes,6353,9736,2,No,1,571375.65
10000,3,Yes,No,1,Working Class,7,1999,Yes,2656,236,2,Yes,2,572044
10000,2,Yes,Yes,1,Upper Class,4,2009,No,3570,1928,0,No,2,573415.1
10000,2,Yes,No,1,Working Class,7,2020,No,6195,8027,2,No,1,575611.275
10000,3,Yes,Yes,1,Middle Class,2,2013,Yes,2975,5534,2,Yes,1,587285.975
10000,1,Yes,Yes,1,Upper Class,9,2000,No,1600,3603,1,Yes,1,596972.925
10000,5,Yes,Yes,1,Middle Class,8,2013,Yes,2128,9487,2,No,2,601477.95
10000,1,Yes,No,2,Upper Class,4,1998,No,1388,727,2,Yes,1,603659.325
10000,4,Yes,No,2,Exclusive,1,1997,Yes,9069,5250,2,No,2,604438.7
10000,2,Yes,Yes,2,Middle Class,3,2020,Yes,9680,4126,0,Yes,1,607992.35
10000,3,Yes,No,1,Upper Class,4,2016,Yes,575,6655,2,Yes,1,624528
10000,1,Yes,Yes,1,Middle Class,6,1992,Yes,5465,3549,0,No,2,628930.7
10000,1,Yes,Yes,2,Working Class,4,2008,Yes,7384,549,2,Yes,1,634601.5
10000,5,No,No,1,Upper Class,8,1990,No,224,6186,1,No,1,634697.85
10000,1,No,No,2,Upper Class,6,2005,Yes,7988,6306,1,No,2,644752.125
10000,2,No,Yes,1,Middle Class,9,2006,No,3768,79,2,No,2,645029.775
10000,3,Yes,No,2,Working Class,9,2014,No,3022,7603,2,Yes,2,645538.875
10000,2,No,Yes,3,Middle Class,5,2008,No,8604,482,1,No,2,649118.35
10000,5,Yes,No,2,Upper Class,5,1998,Yes,1014,3525,1,No,1,651865.1
10000,1,No,Yes,2,Exclusive,1,1997,Yes,4110,3162,2,Yes,2,652252.55
10000,3,Yes,No,1,Working Class,1,2017,Yes,5063,6310,2,No,1,667896.775
10000,4,No,Yes,2,Exclusive,8,1997,Yes,8735,9362,2,No,2,674122.825
10000,2,No,No,2,Middle Class,8,1991,Yes,5343,7596,2,No,1,677373.8
10000,3,No,Yes,1,Upper Class,2,2019,Yes,8115,6787,1,Yes,1,681978.525
10000,3,Yes,No,1,Working Class,7,2008,Yes,9222,8858,1,Yes,1,682234.65
10000,4,Yes,Yes,2,Working Class,7,2008,Yes,9015,5487,2,Yes,1,684890.55
10000,2,No,No,2,Exclusive,1,2003,Yes,9343,4561,1,Yes,1,686935.05
10000,4,No,No,1,Upper Class,8,2020,No,9236,6895,0,No,2,691410.475
10000,2,No,No,2,Upper Class,5,2020,No,2597,6667,0,Yes,2,708740.575
10000,1,Yes,Yes,1,Middle Class,9,2017,Yes,2723,,1,Yes,1,712473.175
10000,3,Yes,No,1,Middle Class,6,2011,Yes,1186,7583,0,No,2,716327.075
10000,1,Yes,No,2,Working Class,2,2011,Yes,64,7702,1,Yes,2,733827
10000,3,No,Yes,2,Working Class,1,2009,No,7965,408,1,Yes,2,735181.75
10000,1,Yes,No,1,Middle Class,6,1996,Yes,8264,5987,1,No,1,737098.925
10000,2,Yes,Yes,1,Upper Class,7,2003,Yes,6324,9366,0,Yes,1,745844.275
10000,2,No,No,1,Upper Class,10,2018,Yes,9977,1139,1,Yes,2,760124.45
10000,2,Yes,Yes,2,Middle Class,4,1992,Yes,3539,7738,2,Yes,1,762279.175
10000,3,No,Yes,2,Exclusive,3,1993,No,7901,9093,1,Yes,1,767814.975
10000,2,No,Yes,2,Exclusive,4,2015,Yes,9592,732,1,No,1,770742.75
10000,4,Yes,No,1,Working Class,8,2002,No,9607,9203,2,No,1,772979.775
10000,5,No,Yes,2,Exclusive,3,1997,No,1662,4926,2,No,2,779003.575
10000,1,Yes,Yes,2,Middle Class,1,1990,No,2530,93,1,Yes,2,785265.675
10000,2,No,Yes,1,Working Class,3,2018,Yes,817,2943,2,Yes,1,787116.55
10000,5,No,No,1,Exclusive,1,2010,No,3446,7961,1,Yes,2,788337.625
10000,3,No,Yes,1,Exclusive,7,1994,No,7111,4200,0,No,1,789176.9
10000,2,No,No,2,Working Class,1,2001,Yes,9002,6342,1,Yes,2,795558.475
10000,5,Yes,Yes,1,Exclusive,6,2014,No,1015,6156,1,No,1,809658.725
10000,1,Yes,No,1,Exclusive,9,2008,Yes,4159,4,1,No,1,813800.25
10000,3,No,No,2,Upper Class,8,1991,Yes,6093,4476,2,No,2,818933.775
10000,2,Yes,Yes,1,Working Class,6,2016,No,952,728,2,Yes,1,828160.8
10000,4,No,Yes,1,Upper Class,5,2018,No,7658,4339,0,No,2,829254.975
10000,2,No,Yes,1,Exclusive,1,2005,Yes,4394,5959,1,Yes,2,834409.175
10000,5,Yes,Yes,1,Upper Class,7,2004,Yes,2133,2781,2,No,2,846520.5
10000,5,Yes,No,2,Middle Class,7,2009,Yes,5233,6844,2,No,2,850672.75
10000,4,No,No,1,Working Class,3,1996,Yes,5208,6983,1,Yes,2,858712.575
10000,5,No,No,1,Working Class,1,2016,Yes,2060,4922,2,No,1,859198.8
10000,3,No,Yes,2,Working Class,9,2016,Yes,4196,2538,1,No,2,870653
10000,4,No,No,2,Upper Class,6,2020,No,3576,8147,1,Yes,2,873363.75
10000,2,Yes,No,2,Exclusive,3,2005,Yes,8261,195,2,Yes,2,878401.575
10000,5,Yes,No,2,Upper Class,9,1994,No,8590,1810,0,Yes,1,882384.05
10000,3,Yes,Yes,1,Upper Class,7,1998,No,3579,9146,2,No,2,888729.275
10000,2,Yes,No,2,Working Class,2,2021,Yes,9301,3325,0,No,1,889601.925
10000,1,Yes,No,1,Working Class,7,1990,Yes,5500,1362,0,Yes,1,891920.45
10000,3,No,Yes,1,Exclusive,1,1992,Yes,6022,9126,2,Yes,2,910396.575
10000,5,No,Yes,3,Middle Class,6,2016,No,6201,430,2,No,1,914600.925
10000,3,No,No,1,Exclusive,9,2018,Yes,1285,8119,2,Yes,2,915258
10000,5,No,No,1,Middle Class,10,1994,No,8485,2024,1,Yes,2,917097.9
10000,3,No,Yes,1,Upper Class,3,1995,No,3231,9485,2,No,1,920128.7
10000,5,Yes,Yes,1,Upper Class,4,1998,Yes,6851,481,1,No,2,923660.1
10000,2,No,No,2,Working Class,3,2006,Yes,3303,5078,2,No,1,947634.725
10000,2,No,Yes,2,Upper Class,4,2016,No,1682,3528,2,No,2,960182.8
10000,4,No,Yes,2,Working Class,10,2009,No,9089,9909,2,No,2,960905.4
10000,4,No,Yes,2,Exclusive,8,2009,No,2450,4135,1,Yes,2,975358.325
10000,1,No,No,1,Working Class,4,1998,No,2848,5969,1,Yes,1,992738.925
10000,3,No,Yes,1,Upper Class,4,1993,Yes,3900,1985,2,No,2,1003189.775
10000,5,Yes,No,1,Upper Class,3,2012,No,257,988,1,No,2,1018631.075
10000,3,Yes,Yes,1,Upper Class,1,2009,No,9078,5907,1,No,1,1021488.2
10000,3,Yes,No,1,Upper Class,5,2001,No,6767,8177,0,Yes,2,1025473.275
10000,5,No,No,1,Exclusive,7,2020,No,671,6270,2,Yes,2,1026929.95
10000,5,No,No,1,Working Class,9,2002,Yes,2504,8951,2,No,2,1031508.225
10000,5,Yes,No,2,Exclusive,2,2001,Yes,1049,2301,1,No,2,1034003.825
10000,5,No,Yes,1,Middle Class,4,2005,No,2062,8379,2,Yes,1,1042767.95
10000,4,No,No,2,Working Class,8,2013,Yes,9322,7211,1,Yes,1,1044386.65
10000,4,Yes,Yes,1,Exclusive,8,2016,No,5798,2548,1,No,1,1051455.15
10000,4,No,Yes,2,Middle Class,1,1999,Yes,6845,8727,1,No,2,1056098.075
10000,1,No,Yes,1,Middle Class,9,1994,Yes,3569,5899,1,Yes,2,1057724.2
10000,5,Yes,Yes,1,Middle Class,6,1996,No,701,2562,0,Yes,2,1060327.7
10000,1,Yes,No,1,Middle Class,6,2004,No,8175,3264,2,Yes,2,1061864.525
10000,4,No,No,1,Upper Class,2,1994,No,8337,6615,2,Yes,2,1063063.525
10000,4,No,Yes,1,Exclusive,2,1990,No,28,7047,2,No,1,1066918.025
10000,2,No,Yes,1,Working Class,4,2015,No,9685,2108,2,Yes,1,1072082.7
10000,1,No,Yes,2,Working Class,5,2003,Yes,7153,5942,0,Yes,1,1080159.4
10000,3,No,No,2,Exclusive,10,2001,No,8237,7085,2,No,1,1088220.5
10000,4,Yes,Yes,2,Exclusive,8,2020,No,2844,5531,2,No,2,1091344.45
10000,3,Yes,Yes,1,Exclusive,7,1992,Yes,8348,9834,2,No,2,1093908.1
10000,3,No,No,1,Working Class,2,1992,Yes,9289,5919,1,No,2,1108558.425
10000,3,Yes,No,1,Exclusive,7,2018,Yes,2647,7509,1,No,2,1108592.975
10000,2,No,Yes,1,Exclusive,1,2006,No,2917,3696,2,Yes,1,1113709.425
10000,4,Yes,No,2,Working Class,3,2017,Yes,2590,425,2,Yes,1,1114327.1
10000,3,Yes,No,2,Working Class,9,2001,No,8472,1206,2,No,1,1115769.625
10000,5,No,Yes,1,Upper Class,6,2009,Yes,9311,1698,,No,1,1123311.75
10000,4,Yes,No,1,Upper Class,8,2014,Yes,3403,1447,2,Yes,1,1126016.1
10000,2,No,No,1,Working Class,1,1997,Yes,8360,2070,0,No,1,1133361.525
10000,1,Yes,Yes,1,Middle Class,4,2018,Yes,736,6180,0,Yes,1,1156874.675
10000,2,No,No,1,Exclusive,2,1991,No,9587,1716,2,Yes,1,1165705.25
10000,5,No,No,1,Working Class,5,2019,Yes,5665,6968,2,Yes,2,1176175.425
10000,3,No,Yes,2,Upper Class,8,2002,No,6240,8680,1,Yes,1,1182221.5
10000,4,Yes,Yes,1,Working Class,5,2015,No,364,3072,2,Yes,2,1184346.325
10000,4,Yes,Yes,2,Upper Class,8,1991,Yes,70,4360,0,Yes,1,1190403
10000,4,No,Yes,1,Middle Class,7,1998,Yes,4996,9775,2,No,1,1221087.5
10000,5,Yes,No,2,Working Class,6,2013,Yes,5466,4262,1,Yes,1,1221147.8
10000,3,No,No,1,Middle Class,5,2000,No,1421,387,0,Yes,1,1222069.3
10000,3,No,No,1,Working Class,4,2020,Yes,7001,5455,1,Yes,2,1222389.825
10000,2,Yes,Yes,1,Middle Class,7,2007,Yes,1313,9063,2,No,1,1228647.4
10000,5,No,Yes,2,Middle Class,8,1992,Yes,1757,7469,2,No,2,1237309.725
10000,1,Yes,Yes,1,Upper Class,5,2010,No,2578,4996,1,No,1,1238841.375
10000,5,No,No,1,Exclusive,6,1994,No,4447,703,1,Yes,2,1248985.025
10000,1,No,No,1,Working Class,10,2006,Yes,1576,3923,2,No,2,1258613.075
10000,1,No,No,1,Working Class,2,1997,No,5250,3664,1,Yes,2,1258720
10000,3,No,No,3,Upper Class,3,2000,Yes,4361,8624,1,No,1,1266840.65
10000,4,No,Yes,1,Exclusive,9,2015,No,3200,4500,1,No,2,1272774.725
10000,3,No,No,1,Working Class,8,2011,Yes,9381,2689,1,Yes,2,1273571.75
10000,4,No,Yes,1,Upper Class,3,2005,No,504,9965,2,No,1,1279986.9
10000,5,No,No,1,Middle Class,7,2010,Yes,2790,8756,2,No,1,1280145.5
10000,4,Yes,Yes,2,Middle Class,10,2000,Yes,7113,8,1,No,1,1280910.75
10000,1,No,No,1,Exclusive,10,2013,Yes,8878,2035,1,No,2,1281295.275
10000,2,No,No,1,Working Class,7,2008,No,722,4156,1,No,1,1282665.025
10000,4,Yes,Yes,2,Working Class,2,2018,Yes,3550,6866,1,No,1,1305918.275
10000,3,Yes,Yes,1,Working Class,1,2000,No,4334,8090,0,Yes,2,1313331.575
10000,1,Yes,No,1,Upper Class,9,2000,Yes,2316,2875,2,No,2,1346315.875
10000,3,Yes,No,3,Working Class,5,2009,No,5879,9334,1,Yes,2,1354700.65
10000,5,Yes,Yes,2,Working Class,10,2009,No,3038,4154,1,No,1,1355798.75
10000,3,Yes,No,2,Middle Class,8,2020,Yes,8776,2454,1,Yes,2,1363295.65
10000,3,Yes,No,2,Upper Class,5,2002,No,7044,9640,2,No,1,1363895.975
10000,3,No,Yes,2,Exclusive,1,1997,Yes,8149,7896,1,Yes,1,1371269.65
10000,4,Yes,Yes,1,Middle Class,10,2019,No,9543,5105,2,No,1,1375707.65
10000,1,No,Yes,1,Exclusive,5,2014,Yes,5580,7186,2,No,2,1377466.375
10000,4,Yes,No,2,Working Class,10,2016,Yes,6984,8177,1,Yes,2,1385147.325
10000,5,Yes,No,1,Middle Class,10,1991,Yes,633,1163,2,No,2,1386904.775
10000,3,Yes,No,2,Working Class,4,2002,Yes,7468,1741,2,Yes,2,1389932.775
10000,4,Yes,No,2,Exclusive,1,1994,Yes,5773,735,1,Yes,1,1393136.725
10000,3,No,Yes,2,Middle Class,5,2018,Yes,2916,662,2,No,1,1400383.225
10000,2,Yes,No,2,Middle Class,10,2016,No,2378,9840,2,Yes,1,1406791.45
10000,4,Yes,No,1,Upper Class,1,1990,No,292,7462,1,Yes,2,1415810.05
10000,5,Yes,No,2,Exclusive,9,2000,Yes,3154,9873,2,Yes,2,1429587.725
10000,4,No,No,2,Upper Class,4,2018,No,129,9402,2,No,1,1429739.45
10000,1,No,Yes,1,Middle Class,6,2020,No,31,6050,1,Yes,1,1439768.575
10000,5,No,Yes,1,Upper Class,10,1992,Yes,1685,7574,2,Yes,1,1441950.75
10000,2,No,No,1,Middle Class,4,2021,No,5209,2362,2,No,2,1446924.95
10000,4,No,No,2,Middle Class,5,2009,Yes,8405,9851,1,No,2,1453496.75
10000,2,Yes,No,2,Middle Class,4,2003,No,2069,3203,0,Yes,1,1473606.95
10000,2,Yes,No,1,Middle Class,5,1990,No,679,8105,2,Yes,2,1476276.75
10000,4,Yes,No,1,Middle Class,5,2000,Yes,4784,3327,2,Yes,1,1480960.75
10000,1,No,No,1,Working Class,1,2015,Yes,9881,6101,1,No,2,1483615.775
10000,5,Yes,No,1,Middle Class,8,1990,Yes,1100,8532,2,Yes,1,1487562.275
10000,4,Yes,No,2,Exclusive,1,1999,Yes,9578,3627,2,Yes,1,1502151.8
10000,5,No,No,1,Exclusive,10,1995,No,9360,3301,1,Yes,2,1514197.15
10000,5,No,No,2,Upper Class,6,1990,No,8498,6782,1,Yes,1,1514840.225
10000,2,Yes,Yes,2,Upper Class,7,2019,No,440,2468,1,No,1,1520163.85
10000,4,Yes,No,1,Middle Class,4,2012,No,8380,1472,1,Yes,1,1527468.45
10000,2,Yes,No,1,Working Class,1,2001,Yes,7075,3706,0,No,1,1536585.85
10000,3,Yes,No,1,Middle Class,6,2016,No,3401,6666,0,Yes,1,1538995.625
10000,3,No,No,2,Upper Class,9,2008,Yes,6003,8724,1,No,1,1544027.8
10000,2,No,Yes,1,Middle Class,8,2020,Yes,6054,1842,0,Yes,1,1553109.875
10000,4,Yes,No,2,Upper Class,1,2018,No,4104,4728,2,No,2,1556354.175
10000,3,Yes,No,1,Working Class,1,2003,No,8041,7294,2,Yes,1,1560613.375
10000,4,Yes,Yes,3,Upper Class,6,2008,No,7391,3786,1,No,2,1564614.1
10000,4,No,Yes,1,Exclusive,1,1997,No,1806,5221,2,No,1,1572584.175
10000,5,Yes,Yes,2,Middle Class,3,2010,No,5977,1702,2,Yes,2,1574997.875
10000,5,No,No,1,Upper Class,9,2010,Yes,9559,9771,2,Yes,1,1593769.375
10000,5,No,Yes,1,Working Class,9,2000,No,7635,681,1,No,2,1607795.65
10000,1,No,No,2,Working Class,4,2019,No,464,3463,1,No,1,1622404
10000,3,Yes,Yes,2,Upper Class,3,2018,Yes,6959,1546,2,Yes,1,1624542.8
10000,5,Yes,No,1,Middle Class,8,1990,Yes,170,9533,0,Yes,1,1626760.525
10000,3,No,Yes,1,Upper Class,7,2012,Yes,554,9690,2,Yes,2,1626885.275
10000,3,No,Yes,2,Upper Class,9,1999,No,7789,6915,1,No,1,1630915.4
10000,1,Yes,Yes,1,Exclusive,5,2013,No,5345,890,2,Yes,1,1635929.95
10000,3,No,No,1,Middle Class,1,2009,No,8057,4199,1,Yes,1,1636173.5
10000,3,Yes,Yes,1,Exclusive,2,2012,Yes,3061,7432,1,No,1,1641411.575
10000,4,No,Yes,1,Upper Class,2,2018,Yes,6275,3031,2,Yes,1,1643891
10000,1,Yes,Yes,2,Middle Class,4,2000,Yes,124,8415,2,Yes,2,1645867
10000,5,Yes,Yes,1,Upper Class,8,1998,Yes,9107,5150,2,No,1,1646894.95
10000,5,Yes,No,1,Exclusive,5,2018,No,264,4785,2,Yes,1,1649539.2
10000,1,Yes,Yes,2,Middle Class,10,2015,Yes,150,473,2,Yes,1,1651473.675
10000,4,Yes,No,2,Upper Class,8,1991,No,1933,4977,1,No,2,1651840.05
10000,3,Yes,No,2,Middle Class,6,2017,No,6182,5053,2,No,1,1658836.5
10000,1,Yes,No,2,Upper Class,5,1999,No,4860,9135,2,Yes,1,1676849.6
10000,2,No,No,1,Middle Class,8,1991,Yes,2238,8328,1,No,1,1688094.975
10000,1,Yes,No,2,Middle Class,9,2004,Yes,5566,1603,2,Yes,1,1703191.225
10000,5,Yes,No,2,Working Class,5,2016,No,7247,9670,2,No,2,1711445.425
10000,2,No,Yes,1,Exclusive,8,2015,No,4370,5260,1,Yes,1,1727763.75
10000,5,No,Yes,2,Middle Class,10,2012,No,7248,6156,1,No,1,1736799.575
10000,5,No,Yes,1,Middle Class,9,2012,Yes,1987,7304,1,No,2,1746616.075
10000,1,Yes,No,2,Exclusive,8,2021,No,1143,1640,1,No,1,1749436.55
10000,5,No,Yes,1,Upper Class,3,2010,Yes,2676,1879,2,Yes,2,1778323.85
10000,2,Yes,No,1,Upper Class,10,2019,Yes,5868,4566,1,Yes,2,1788573.5
10000,5,No,Yes,2,Upper Class,9,2018,No,5216,1613,2,No,1,1801186.075
10000,4,No,No,1,Upper Class,5,2000,Yes,3827,3127,2,Yes,1,1830508.875
10000,2,Yes,Yes,1,Middle Class,1,2010,No,5553,5076,0,No,2,1843749.525
10000,2,Yes,No,2,Upper Class,6,2006,Yes,3740,2990,1,Yes,2,1865357.525
10000,4,No,No,1,Upper Class,2,1996,Yes,8385,859,1,No,2,1879854.025
10000,1,Yes,Yes,1,Upper Class,4,1995,Yes,8067,9483,0,No,1,1882915.025
10000,3,Yes,No,2,Middle Class,6,1992,Yes,6996,1984,1,No,1,1886493.625
10000,4,Yes,Yes,1,Exclusive,9,1998,No,1359,9623,1,Yes,2,1892805.975
10000,5,Yes,Yes,1,Middle Class,6,2008,No,5909,232,1,No,1,1897505.55
10000,1,Yes,No,1,Exclusive,2,2014,Yes,9573,3744,0,Yes,1,1897962.175
10000,1,No,No,1,Exclusive,6,1991,Yes,5157,2004,2,No,2,1913325.2
10000,1,Yes,No,2,Middle Class,6,2016,No,5401,9395,1,Yes,2,1920566.75
10000,1,No,Yes,2,Middle Class,3,2015,Yes,4978,6403,2,No,2,1921984.65
10000,5,Yes,No,2,Upper Class,2,2014,No,4719,7771,1,Yes,2,1923949.625
10000,2,Yes,Yes,2,Exclusive,5,2006,Yes,7795,43,1,No,2,1934791.775
10000,3,No,No,1,Middle Class,9,2011,Yes,9526,1705,1,Yes,2,1936046.25
